"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\main.cpp", "C++", 1, 0, 0, 1
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece\PuzzlePiece.cpp", "C++", -51, -10, -9, -70
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece\PuzzlePiece.h", "C++", -22, -2, -4, -28
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece_Heart\PuzzlePiece_heart.cpp", "C++", -37, -11, -8, -56
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece_Heart\PuzzlePiece_heart.h", "C++", -17, 0, -5, -22
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece_Ledpipe\PuzzlePiece_Ledpipe.cpp", "C++", -37, -11, -8, -56
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\PuzzlePiece_Ledpipe\PuzzlePiece_Ledpipe.h", "C++", -17, 0, -5, -22
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\CompassConnector\CompassConnector.cpp", "C++", -38, -3, -7, -48
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\CompassConnector\CompassConnector.h", "C++", -32, 0, -12, -44
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\connectedModule.cpp", "C++", 18, 1, 6, 25
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\connectedModule\connectedModule.h", "C++", 14, 0, 3, 17
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\moduleManager.cpp", "C++", 99, 29, 26, 154
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\moduleManager\moduleManager.h", "C++", 19, 0, 2, 21
"c:\Users\askbl\School\Fontys\Semester 6\GLOW\Codebase\GLOW-II\ROLF - Master\src\pipePieces.h", "C++", 4, 0, 1, 5
"Total", "-", -96, -7, -20, -123
